trial,raw_file,frequency_hz,symbol_rate_hz,duration_s,total_events,events_per_s,bin_us,trim_start_s,trim_end_s,phase_s,threshold,message_offset_bits,n_symbols_total,n_symbols_scored,n_messages,n_correct_messages,mar,n_bit_errors,ber
s31_replication_500Hz_t1,s31_replication_500Hz_t1.raw,500.0,500.0,9.395973999999999,141872748,15099312.535347588,25.0,0.0,0.0,8e-05,30211.37147245593,10,4697,4686,426,0,0.0,2391,0.5102432778489117
s31_replication_500Hz_t2,s31_replication_500Hz_t2.raw,500.0,500.0,8.719949999999999,141994712,16283890.61863887,25.0,0.0,0.0,0.00072,32612.39999261086,3,4359,4345,395,0,0.0,2212,0.509090909090909
s31_replication_1000Hz_t1,s31_replication_1000Hz_t1.raw,1000.0,1000.0,7.175914,109844878,15307440.696753055,25.0,0.0,0.0,0.00064,15423.135321280919,6,7175,7161,651,0,0.0,3735,0.5215751989945538
s31_replication_1000Hz_t2,s31_replication_1000Hz_t2.raw,1000.0,1000.0,8.531914,109770207,12865836.083204776,25.0,0.0,0.0,0.00036,13311.176351438942,7,8531,8525,775,0,0.0,4481,0.5256304985337243
s31_replication_1500Hz_t1,s31_replication_1500Hz_t1.raw,1500.0,1500.0,5.899941,88009379,14916993.068235766,25.0,0.0,0.0,0.00048,10122.742561392084,7,8849,8844,804,0,0.0,4646,0.5253279059249208
s31_replication_1500Hz_t2,s31_replication_1500Hz_t2.raw,1500.0,1500.0,7.183974,88166212,12272624.037893232,25.0,0.0,0.0,0.00031999999999999997,8369.360205270923,4,10775,10758,978,0,0.0,5686,0.5285369027700316
s31_replication_2000Hz_t1,s31_replication_2000Hz_t1.raw,2000.0,2000.0,6.091975,70952963,11646955.708124213,25.0,0.0,0.0,0.0,6058.38165056656,9,12183,12177,1107,0,0.0,6467,0.531083189619775
s31_replication_2000Hz_t2,s31_replication_2000Hz_t2.raw,2000.0,2000.0,5.899982,71023443,12037908.420737555,25.0,0.0,0.0,0.0,6076.089106720085,2,11799,11781,1071,0,0.0,6251,0.5306001188354129
s31_replication_2500Hz_t1,s31_replication_2500Hz_t1.raw,2500.0,2500.0,5.819977,58624364,10072954.58384114,25.0,0.0,0.0,0.000128,4467.388448779801,7,14549,14542,1322,0,0.0,7756,0.5333516710218676
s31_replication_2500Hz_t2,s31_replication_2500Hz_t2.raw,2500.0,2500.0,5.699974,58706953,10299512.418828577,25.0,0.0,0.0,0.0,4329.105833349627,6,14249,14234,1294,0,0.0,7589,0.5331600393424195
s31_replication_3000Hz_t1,s31_replication_3000Hz_t1.raw,3000.0,3000.0,5.5438659999999995,48996415,8837950.809056353,25.0,0.0,0.0,9.333333333333333e-05,3324.503808821161,5,16631,16621,1511,0,0.0,8890,0.5348655315564648
s31_replication_3000Hz_t2,s31_replication_3000Hz_t2.raw,3000.0,3000.0,5.655968,49046302,8671601.748807631,25.0,0.0,0.0,6.666666666666667e-05,3117.5612204035174,3,16967,16951,1541,0,0.0,9069,0.5350126836174857
