raw_file,label,lux,total_events,duration_s,events_per_s,onset_s_rel,noise_mean,noise_std,signal_mean,signal_std,noise_rate_per_s,signal_rate_per_s,snr_ratio,snr_z
s31_lux0_t1.raw,lux0_t1,0.0,45676623,8.251935,5535262.093072716,4.933,7.509,3.266790320788893,13745.734257306418,9231.770165986269,7509.0,13745734.257306417,1830.5678861774427,4205.419971364673
s31_lux0_t2.raw,lux0_t2,0.0,80975505,8.747943,9256519.504070843,4.8950000000000005,7.096096096096096,3.0089580594249155,21005.750064884505,16034.197832262777,7096.096096096096,21005750.064884506,2960.1839913696745,6978.712748426198
s31_lux0_t3.raw,lux0_t3,0.0,110778596,8.959973999999999,12363718.466147337,4.742,7.632,3.071575491502691,26252.477477477478,21411.12626409907,7631.999999999999,26252477.477477476,3439.790025874932,8544.424693478019
s31_lux62_t1.raw,lux62_t1,62.0,264744791,8.839966,29948620.956234444,4.955,67.455,8.356074138014813,68058.50553410554,50326.87268439479,67455.0,68058505.53410554,1008.9467872523244,8136.721791970416
s31_lux62_t2.raw,lux62_t2,62.0,264997354,9.331995,28396645.51899139,5.599,68.159,8.791684650850485,70886.38360567908,49403.0395338066,68159.0,70886383.60567908,1040.0150179092866,8055.137032107755
s31_lux62_t3.raw,lux62_t3,62.0,264556650,8.267967,31997787.364173077,4.792,61.888,7.910338551541268,76023.6913118527,47152.67679503089,61888.0,76023691.3118527,1228.4076284877958,9602.85110642352
s31_lux300_t1.raw,lux300_t1,300.0,254628216,10.227936999999999,24895364.138437696,4.612,34.869,6.416216876010348,45312.34383903134,52004.75912730902,34869.0,45312343.83903134,1299.5022466669918,7056.724501991151
s31_lux300_t2.raw,lux300_t2,300.0,264418785,11.063953,23899124.02917836,4.742,39.142,6.7169811671613315,41797.11293894337,51504.081998374764,39142.0,41797112.93894337,1067.8328378453673,6216.77653989772
s31_lux300_t3.raw,lux300_t3,300.0,255432686,10.423957999999999,24504385.570241172,4.797,43.142,7.126698815019475,45355.95645992536,52123.02394538676,43142.0,45355956.45992535,1051.3178911484251,6358.177276192572
s31_lux512_t1.raw,lux512_t1,512.0,252126341,10.839628,23259685.756743684,6.0040000000000004,23.735,5.902438055583471,52105.02688172043,50229.34938917755,23735.0,52105026.88172042,2195.2823628279093,8823.691395194499
s31_lux512_t2.raw,lux512_t2,512.0,252466466,8.69589,29032849.54156504,4.759,24.553553553553552,5.887405747128034,64097.56413512827,48448.09244333078,24553.553553553553,64097564.13512827,2610.5208761463223,10883.063497505756
s31_lux512_t3.raw,lux512_t3,512.0,243689928,8.371974999999999,29107818.406051144,4.742,23.062,6.0031788245895195,67101.9567493113,47461.92623648131,23062.0,67101956.7493113,2909.6330218242692,11173.89581575524
